"joinID","nature","access","riskPerc","budget","knowledge","OPMpresence","OPMinv"
183,3,0,0,43820,0,0,1
184,3,0,0,43820,0,0,1
185,3,0,0,43820,0,0,1
186,3,0,0,43820,0,0,1
187,3,0,0,43820,0,0,1
188,2,0,0,43820,0,0,1
189,2,0,0,43820,0,0,1
190,2,0,0,43820,0,0,1
191,3,0,0,43820,0,0,1
192,3,0,0,43820,0,0,1
193,2,1,0.8,43820,0,0,1
194,2,1,0.8,43820,0,0,1
195,2,1,0.8,43820,0,0,1
196,2,1,0.8,43820,0,0,1
197,2,1,0.8,43820,0,0,1
198,2,1,0.8,43820,0,0,1
199,2,1,0.8,43820,0,0,1
200,2,1,0.8,43820,0,0,1
201,2,1,0,43820,0,0,1
202,2,1,0.8,43820,0,0,1
203,2,1,0.8,43820,0,0,1
204,2,1,0.8,43820,0,0,1
205,2,1,0.8,43820,1,1,0
206,2,0,0,43820,1,1,0
207,2,0,0,43820,0,0,1
208,1,0,0,43820,0,0,1
209,1,0,0,43820,0,0,1
210,1,0,0,43820,0,0,1
211,1,0,0,43820,0,0,1
212,1,0,0,43820,0,0,1
213,1,0,0,43820,0,0,1
214,1,0,0,43820,0,0,1
215,1,0,0,43820,0,0,1
216,1,0,0,43820,0,0,1
217,1,0,0,43820,0,0,1
218,2,0,0,43820,0,0,1
219,2,0,0,43820,0,0,1
220,2,0,0,43820,0,0,1
221,2,0,0,43820,0,0,1
222,2,0,0,43820,0,0,1
223,3,0,0,43820,0,0,1
224,3,0,0,43820,0,0,1
225,3,0,0,43820,0,0,1
226,3,0,0,43820,0,0,1
227,3,0,0,43820,0,0,1
228,3,0,0,43820,0,0,1
229,3,0,0,43820,0,0,1
230,3,0,0,43820,0,0,1
231,3,0,0,43820,0,0,1
232,3,0,0,43820,0,0,1
233,3,0,0,43820,0,0,1
234,3,0,0,43820,0,0,1
235,2,0,0,43820,0,0,1
236,2,0,0,43820,0,0,1
237,3,0,0,43820,0,0,1
238,3,0,0,43820,0,0,1
239,3,1,0.8,43820,0,0,1
240,2,1,0.8,43820,0,0,1
241,2,1,0.8,43820,0,0,1
242,2,1,0.8,43820,0,0,1
243,2,1,0.8,43820,0,0,1
244,2,1,0.8,43820,0,0,1
245,2,1,0.8,43820,0,0,1
246,2,1,0.8,43820,0,0,1
247,2,1,0,43820,0,0,1
